customer_id,segment_name,recency,frequency,monetary,support_ticket_count,refund_rate
CUST00001,At Risk,168,6,2955.57,2.0,0.16666666666666666
CUST00002,Dormant Customers,35,3,1713.1,1.0,0.0
CUST00003,Dormant Customers,232,1,649.98,0.0,0.0
CUST00004,Dormant Customers,192,1,1604.04,0.0,0.0
CUST00005,Dormant Customers,11,6,3910.43,1.0,0.0
CUST00006,Dormant Customers,55,6,3987.46,2.0,0.16666666666666666
CUST00007,New Customers,3,2,1219.9,0.0,0.0
CUST00008,Dormant Customers,45,6,3647.9900000000002,1.0,0.0
CUST00009,Discount Sensitive,29,2,803.99,0.0,0.5
CUST00010,New Customers,9,2,1984.18,0.0,0.0
CUST00011,New Customers,7,4,2912.49,0.0,0.0
CUST00012,Dormant Customers,111,2,2051.63,1.0,0.0
CUST00013,New Customers,3,4,2934.52,1.0,0.0
CUST00014,Champions,1,13,9108.63,2.0,0.0
CUST00015,Dormant Customers,1,5,5805.34,0.0,0.0
CUST00016,Dormant Customers,276,1,478.02,1.0,0.0
CUST00017,Dormant Customers,347,3,1699.1399999999999,0.0,0.0
CUST00018,Dormant Customers,172,1,329.21,0.0,0.0
CUST00019,Dormant Customers,35,3,2719.02,0.0,0.0
CUST00020,At Risk,429,3,4487.950000000001,1.0,0.0
CUST00021,Dormant Customers,138,2,1059.3,1.0,0.0
CUST00022,Dormant Customers,37,2,1332.67,0.0,0.0
CUST00023,Dormant Customers,42,2,772.04,0.0,0.0
CUST00024,New Customers,14,2,967.97,0.0,0.0
CUST00025,At Risk,226,7,4868.86,3.0,0.0
CUST00026,Discount Sensitive,41,4,4521.43,1.0,0.5
CUST00027,New Customers,15,2,2666.0,1.0,0.5
CUST00028,New Customers,4,3,1853.73,1.0,0.0
CUST00029,Champions,12,11,7122.8,0.0,0.0
CUST00030,Loyal Customers,16,7,3884.46,2.0,0.0
CUST00031,Dormant Customers,110,1,672.95,0.0,0.0
CUST00032,Dormant Customers,32,4,2456.0499999999997,0.0,0.0
CUST00033,Discount Sensitive,15,6,3548.9,2.0,0.3333333333333333
CUST00034,Loyal Customers,53,7,4165.39,3.0,0.0
CUST00035,Dormant Customers,188,3,1369.71,0.0,0.0
CUST00036,Dormant Customers,88,4,1737.33,1.0,0.25
CUST00037,New Customers,9,3,2021.52,0.0,0.0
CUST00038,Dormant Customers,11,6,2761.52,1.0,0.0
CUST00039,Dormant Customers,31,4,2094.09,0.0,0.0
CUST00040,Dormant Customers,215,1,634.73,1.0,0.0
CUST00041,Dormant Customers,115,4,1911.8600000000001,1.0,0.0
CUST00042,Loyal Customers,46,10,7919.28,6.0,0.2
CUST00043,New Customers,12,2,705.3199999999999,0.0,0.0
CUST00044,Dormant Customers,58,4,3409.6499999999996,1.0,0.0
CUST00045,Dormant Customers,157,1,413.75,0.0,0.0
CUST00046,Dormant Customers,188,1,489.87,0.0,0.0
CUST00047,Dormant Customers,265,1,764.43,0.0,0.0
CUST00048,Dormant Customers,11,5,2860.14,1.0,0.2
CUST00049,Discount Sensitive,39,2,1172.61,0.0,0.5
CUST00050,Dormant Customers,56,4,3169.58,1.0,0.25
CUST00051,At Risk,271,4,4444.3,2.0,0.0
CUST00052,At Risk,116,3,2807.14,1.0,0.3333333333333333
CUST00053,Dormant Customers,10,6,5422.92,2.0,0.0
CUST00054,New Customers,23,2,1154.37,0.0,0.5
CUST00055,New Customers,1,4,1707.24,1.0,0.0
CUST00056,Dormant Customers,53,5,4169.73,1.0,0.0
CUST00057,Dormant Customers,197,2,2510.83,0.0,0.0
CUST00058,Dormant Customers,49,5,3930.75,0.0,0.0
CUST00059,Dormant Customers,9,5,5050.94,0.0,0.0
CUST00060,Dormant Customers,206,1,293.22,0.0,0.0
CUST00061,Dormant Customers,3,5,2511.7200000000003,1.0,0.0
CUST00062,Dormant Customers,50,5,3135.08,1.0,0.0
